examType,subject,topic,subtopic,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,solution,tags
CSAT,Aptitude,Comprehension,,Easy,"Read the passage: ""Democracy is not merely a form of government. It is primarily a mode of associated living."" What does the author imply?",Democracy is only about elections,Democracy is a way of life beyond governance,Democracy is outdated,Democracy works only in large nations,B,"The author contrasts ""form of government"" with ""mode of associated living"", implying democracy extends beyond political structures into daily social interactions.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Medium,"""The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge."" This statement suggests:",Ignorance is acceptable,False confidence in knowledge is more dangerous than not knowing,Knowledge is an illusion,Enemies are everywhere,B,"The statement argues that believing you know something when you don't (illusion of knowledge) prevents learning, making it worse than simply not knowing.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Easy,"A passage states: ""Sustainable development meets present needs without compromising future generations' ability to meet theirs."" The key idea is:",Stop all development,Balance current needs with future resource availability,Future generations will find solutions,Development is always harmful,B,The Brundtland definition emphasizes balance — using resources to meet today's needs while ensuring future generations can also meet theirs.,"CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Easy,"""Education is the most powerful weapon which you can use to change the world."" This implies:",Weapons are necessary for change,Education empowers transformative change,The world cannot be changed,Only educated people matter,B,"Nelson Mandela's quote uses metaphor to emphasize that education, more than any physical force, has the power to transform societies.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Medium,A passage argues that urbanization leads to both economic growth and environmental degradation. The author's approach is:,Completely against urbanization,"Balanced, acknowledging both benefits and drawbacks",Fully supportive of urbanization,Indifferent to the topic,B,"By presenting both positive (economic growth) and negative (environmental degradation) aspects, the author takes a balanced analytical approach.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Easy,"""The measure of intelligence is the ability to change."" This quote by Einstein means:",Intelligence is fixed at birth,Adaptability is a sign of intelligence,Change is always bad,Only scientists are intelligent,B,"Einstein suggests that true intelligence lies not in rigid knowledge but in the ability to adapt, evolve, and respond to new situations.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Medium,A passage discusses how social media connects people globally but also spreads misinformation. The central tension is between:,Technology and nature,Connectivity and information reliability,Youth and elderly,Government and citizens,B,The passage presents a paradox: social media's power to connect (positive) versus its role in spreading false information (negative).,"CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Easy,"""In a democracy, the well-being of the weakest member is the true measure of its success."" This means:",Only weak people matter,A democracy's strength is judged by how it treats its most vulnerable,Democracy always fails,Strength is the only measure,B,The statement argues that democratic success should be measured not by the prosperity of the privileged but by the welfare of the most disadvantaged.,"CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Easy,"An author writes: ""Climate change is not a distant threat but a present reality."" The purpose is to:",Dismiss climate concerns,Create urgency about climate action,Discuss future technology,Compare past and present,B,"By contrasting ""distant threat"" with ""present reality"", the author aims to create a sense of urgency, arguing that climate change demands immediate action.","CSAT,Aptitude,Comprehension"
CSAT,Aptitude,Comprehension,,Medium,"""The only thing we have to fear is fear itself."" This statement uses which rhetorical technique?",Hyperbole,Paradox,Simile,Alliteration,B,"FDR's famous quote is paradoxical — it says the thing to fear is fear, creating a self-referential loop that emphasizes courage over anxiety.","CSAT,Aptitude,Comprehension"
