examType,subject,topic,subtopic,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,solution,tags
IAS-GS,History of India,Ancient India,,Easy,The Indus Valley Civilization was primarily:,Rural and pastoral,Urban and well-planned,Nomadic,Forest-based,B,"The Indus Valley (Harappan) Civilization was notable for its advanced urban planning, including grid-pattern streets, drainage systems, and standardized brick sizes.","IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Ancient India,,Easy,The Ashoka Pillar at Sarnath is associated with:,Buddha's birth,Buddha's first sermon,Buddha's death,Buddha's enlightenment,B,Sarnath is where Buddha delivered his first sermon (Dhammacakkappavattana Sutta). The Ashoka Pillar with its lion capital was erected here to commemorate this event.,"IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Ancient India,,Easy,Which Vedic text is considered the oldest?,Sama Veda,Yajur Veda,Rig Veda,Atharva Veda,C,The Rig Veda (c. 1500-1200 BCE) is the oldest of the four Vedas and one of the oldest known texts in any Indo-European language.,"IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Ancient India,,Easy,The Mauryan Empire was founded by:,Ashoka,Bindusara,Chandragupta Maurya,Chanakya,C,Chandragupta Maurya founded the Mauryan Empire around 321 BCE with the guidance of his advisor Chanakya (Kautilya). Ashoka was his grandson.,"IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Ancient India,,Easy,"The concept of ""Dharma Chakra"" on the Indian national flag is taken from:",Ajanta Caves,Sarnath Lion Capital,Sanchi Stupa,Ellora Caves,B,"The 24-spoke Dharma Chakra (Wheel of Law) on India's flag is derived from the Ashoka Pillar at Sarnath, which also provides the national emblem.","IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Ancient India,,Medium,Nalanda University was destroyed by:,Mahmud of Ghazni,Bakhtiyar Khilji,Muhammad Ghori,Timur,B,Bakhtiyar Khilji destroyed Nalanda University around 1193 CE. The library was so vast that it reportedly burned for three months.,"IAS-GS,History of India,Ancient India"
IAS-GS,History of India,Modern India,,Easy,The Permanent Settlement of 1793 was introduced by:,Lord Cornwallis,Lord Wellesley,Lord Dalhousie,Lord Curzon,A,"Lord Cornwallis introduced the Permanent Settlement in Bengal in 1793, fixing land revenue to be paid by zamindars to the British government permanently.","IAS-GS,History of India,Modern India"
IAS-GS,History of India,Modern India,,Easy,The Doctrine of Lapse was associated with:,Lord Canning,Lord Dalhousie,Lord Bentinck,Lord Ripon,B,"Lord Dalhousie used the Doctrine of Lapse to annex Indian states whose rulers died without natural heirs, including Satara, Jhansi, and Nagpur.","IAS-GS,History of India,Modern India"
IAS-GS,Indian National Movement,Gandhian Era,,Easy,The Non-Cooperation Movement was launched in:,1919,1920,1930,1942,B,Gandhi launched the Non-Cooperation Movement in 1920 against the Rowlatt Act and Jallianwala Bagh massacre. It was suspended in 1922 after the Chauri Chaura incident.,"IAS-GS,Indian National Movement,Gandhian Era"
IAS-GS,Indian National Movement,Gandhian Era,,Easy,The Salt March (Dandi March) took place in:,1928,1930,1932,1942,B,"Gandhi led the Salt March from Sabarmati Ashram to Dandi (about 390 km) in March-April 1930 to protest the British salt tax, launching the Civil Disobedience Movement.","IAS-GS,Indian National Movement,Gandhian Era"
